sessionID,series,onset_ms,postnom,Transcription
s014,13,1204,0,the big 'Z'/'C'
s014,14,1023,0,the big 'O'
s014,15,936,0,the small 'x'
s014,16,879,0,the small 'a'
s014,17,1213,0,the small 'u'
s014,18,880,0,the small 'y'
s014,19,,0,bad trial
s014,20,1460,0,the small 'q'
s014,21,815,0,the small 'b' 
s014,22,1020,0,the big 'd' but sounds like another voice saying 't' at end of trial
s014,23,1201,0,big 'M'
s014,24,1038,0,the big 'W'
s015,13,639,0,the bigger 'T'
s015,14,612,0,smaller 'd'
s015,15,751,0,bigger 'L'
s015,16,805,0,smaller 'p'
s015,17,961,0,bigger 'R'
s015,18,585,0,smaller 'b'
s015,19,1339,0,the bigger 'H'
s015,20,844,0,the bigger 'Y'
s015,21,757,0,bigger 'M'
s015,22,777,0,bigger 'G'
s015,23,924,0,bigger 'Z'
s015,24,571,0,small 's'
s016,13,1044,0,big 'R'
s016,14,888,0,big 'D'
s016,15,672,0,small 'c'/'t'
s016,16,752,0,small 't'
s016,17,747,0,small 'x'
s016,18,580,0,small 's'
s016,19,741,0,big 'A'
s016,20,918,0,big 'D'
s016,21,681,0,small 'd'
s016,22,,0,bad trial (multiple segments of speech)
s016,23,718,0,big 'Q'
s016,24,685,0,small 'k'
s017,13,2791,0,bigger T' (includes an 'umm' before the 'the')
s017,14,1540,0,upper 'C' ?!
s017,15,912,0,smaller 'e'
s017,16,893,0,bigger 'Q'
s017,17,1242,0,smaller 'm'/'n'
s017,18,2311,0,upper 'A' (includes 'ahhhhm' beforehand)
s017,19,1340,0,smaller r'
s017,20,3310,0,lower case 's'
s017,21,881,0,smaller 's'
s017,22,1179,0,smaller 'b'
s017,23,1742,0,smaller 'v' 
s017,24,1187,0,bigger 'Z'
s018,13,1061,0,little 'unknown?!'
s018,14,1044,0,small but pink 'e'?
s018,15,1097,0,big purple 'I'
s018,16,1130,0,small red 'c'??
s018,17,821,0,big orange 'X'
s018,18,732,0,big pink 'S'
s018,19,883,0,big blue 'J'?
s018,20,1540,0,small pink 't'
s018,21,1089,0,small orange 'q'
s018,22,862,0,small purple 't'
s018,23,733,0,big 'unknown'
s018,24,820,0,small 'r'
s019,13,1255,0,large capital 'A'
s019,14,1332,0,larger 'G'
s019,15,1265,0,larger 'J'
s019,16,835,0,larger 'B'
s019,17,893,0,larger 'D'
s019,18,709,0,smaller 'r'
s019,19,1606,0,larger capital 'A'
s019,20,1070,0,smaller 'c'
s019,21,860,0,smaller 'v' 
s019,22,987,0,smaller 'z'
s019,23,1155,0,larger 'S'
s019,24,732,0,smaller 'n'/'m'
s020,13,1037,0,larger red 'M'
s020,14,966,0,larger red 'O'
s020,15,1041,0,smaller blue 'w' (difficult to read time)
s020,16,1325,0,larger orange 'K'
s020,17,1038,0,larger blue 'R'
s020,18,1067,0,large purple 'F'
s020,19,860,0,small orange 's'
s020,20,879,0,larger pink 'P'
s020,21,1281,0,smaller green 'h'
s020,22,1122,0,smaller blue 'z'
s020,23,929,0,smaller green 'u'
s020,24,1413,0,small pal blue 'q'??
s021,13,789,0,big orange 'A'
s021,14,1171,0,small 's'
s021,15,1473,0,small 'k'
s021,16,1513,0,big 'X'
s021,17,1336,0,small 'u'
s021,18,1109,0,small 'j'
s021,19,843,0,big 'Q'
s021,20,1204,0,big 'Z'
s021,21,1388,0,big 'B'
s021,22,1188,0,big 'C'
s021,23,1099,0,small 'a'
s021,24,1654,0,big 'B'
s022,13,1287,0,smaller 'b'
s022,14,1220,0,big 'something'ﾅ G??
s022,15,688,0,small 'u'
s022,16,885,0,big 'Q'
s022,17,624,0,small 'r'
s022,18,672,0,big 'H'
s022,19,1367,0,the big 'P'
s022,20,1055,0,the big 'A'??
s022,21,1041,0,small 'd'
s022,22,1481,0,the small 'v' 
s022,23,769,0,big 'M'
s022,24,754,0,small 'y'
s023,13,1000,0,big 'N'
s023,14,863,0,small 'i'
s023,15,814,0,small 'g'
s023,16,574,0,big 'D'
s023,17,682,0,big 'O'
s023,18,692,0,big 'C'
s023,19,652,0,small 'p'
s023,20,521,0,big 'W'
s023,21,813,0,big 'A'
s023,22,728,0,small 'u'
s023,23,784,1,z' ........'small z' (onset of z listed)
s023,24,786,0,big 'Y'
s024,13,1195,0,smaller 't'
s024,14,2555,0,uh smaller 'o'
s024,15,1089,0,bigger 'W'
s024,16,1182,0,smaller 'd'
s024,17,2055,0,bigger 'J'
s024,18,4257,0,uummm....smaller 'q'
s024,19,1048,0,smaller 'x'
s024,20,1373,0,bigger 'I'
s024,21,1229,0,bigger 'S'
s024,22,1078,0,smaller 'g'
s024,23,2180,0,bigger 'Y'
s024,24,1593,0,bigger 'M'
s025,13,785,0,big 'C'
s025,14,718,0,small 'o'
s025,15,835,0,small 'r'
s025,16,2409,0,eh small 'q'
s025,17,1021,0,big 'T'
s025,18,1201,0,uh big 'D'
s025,19,1327,0,big 'P'
s025,20,1819,0,sssshw ﾅ big 'A' (onset of big listed)
s025,21,1310,0,big 'W'
s025,22,1340,0,small 'y'/'I'
s025,23,766,0,small 's' (difficulty identifying beginning)
s025,24,1150,0,big 'Z'??
s026,13,877,0,larger 'L'
s026,14,1394,0,smaller/taller(??) 'y'
s026,15,882,0,smaller 'e'
s026,16,658,0,larger 'W'
s026,17,850,0,the smaller 'z'
s026,18,,0,bad trial - think it's large a but hard to tell
s026,19,809,0,smaller 'o'
s026,20,1074,0,the larger 'C'
s026,21,869,0,ehh small 'e'
s026,22,1179,0,em the small 's'
s026,23,851,0,smaller 'g' 
s026,24,895,1,R' ﾅ larger 'R' (onset of R listed)
s027,13,2350,0,small 'd'
s027,14,1499,0,big 'Q'
s027,15,1400,0,big 'G'
s027,16,1621,0,big 'O'
s027,17,1127,0,smaaaaall 'y'
s027,18,762,0,small 's'
s027,19,1680,0,small 'm'
s027,20,1562,0,small 'cant make it out'
s027,21,1030,0,big 'I'
s027,22,1106,0,small 'c'
s027,23,1416,1,h'ﾅsmall (onset of h listed)
s027,24,,0,not sure whether it says the r or big r
s028,13,753,0,big 'L'
s028,14,1712,0,the small 'j'/'g'
s028,15,673,0,small 'r'
s028,16,814,0,big 'Q'
s028,17,981,0,big 'P'
s028,18,655,0,small 'a'
s028,19,1091,0,big 'B'
s028,20,808,0,big 'Z'
s028,21,795,0,big 'J'
s028,22,996,0,small 'u'
s028,23,738,0,small 'y'
s028,24,640,0,small 'k'
s029,13,978,0,the large 'R'
s029,14,803,0,small 'w'
s029,15,1169,0,the large 'X'
s029,16,957,0,small 'v'
s029,17,886,0,the small 'y'
s029,18,941,0,the small 'u'
s029,19,775,0,the small 'c'
s029,20,1022,0,the large 'Q'
s029,21,996,0,the large 'L'
s029,22,956,0,the large 'E'
s029,23,1662,0,the small 'g'
s029,24,1194,0,the large 'M'
s030,13,3378,0,large 'Q'
s030,14,1571,0,ehhh small 'g'
s030,15,1232,0,large 'M'
s030,16,1068,0,small 'x'
s030,17,1215,0,small 'j'
s030,18,905,0,small 'b'/'e'
s030,19,1296,0,eehh large 'W'
s030,20,3105,0,small 'r'
s030,21,1329,0,large 'H'
s030,22,1214,0,large 'P'
s030,23,2111,0,small 'A'
s030,24,1147,0,large 'Q' (?)
s031,13,1737,0,big 'W'
s031,14,1723,0,small 'r'
s031,15,2043,0,big 'J'
s031,16,958,0,small 'l'
s031,17,1650,0,big 'A'
s031,18,1708,0,big 'P'
s031,19,1782,0,small 't'
s031,20,2037,0,small 'h'
s031,21,1614,0,small 'm'
s031,22,1951,0,small 'c'
s031,23,1127,0,small 'g'
s031,24,1164,0,big 'I'
s032,13,816,0,big 'A'
s032,14,784,0,small 'q'
s032,15,730,0,big 'L'
s032,16,888,0,big 'T'
s032,17,944,0,big 'N'
s032,18,762,0,big 'N'
s032,19,952,0,small 's'
s032,20,895,0,small 'v'
s032,21,779,0,small 'j'
s032,22,960,0,small 'y'
s032,23,775,0,small 'u'
s032,24,657,0,big 'W'
s033,13,1270,0,small 'f'
s033,14,1403,0,small 'I'
s033,15,1258,0,big 'R'
s033,16,905,0,big 'G'
s033,17,1444,0,little 'l'
s033,18,1176,0,little 'o'
s033,19,1365,0,big 'C'
s033,20,1032,0,big 'N'
s033,21,1067,0,small 'm'/'n'
s033,22,1046,0,big 'A'
s033,23,1030,0,big 'Y'
s033,24,1025,0,big 'B'
s034,13,1275,0, the larger 'G'
s034,14,1154,0,the small 'n'
s034,15,1004,0,the small 'n'
s034,16,667,0,eh large 'B'
s034,17,988,0,large 'Z'
s034,18,1013,0,large 'W'
s034,19,1174,0,small 'j'
s034,20,1178,0,the larger 'U'
s034,21,1167,0,the small 'k'
s034,22,876,0,large 'C'
s034,23,994,0,small 'f'
s034,24,1008,0,large 'V
s035,13,971,0,small 'u'
s035,14,593,0,large 'N'/'M'
s035,15,534,0,large 'Y'
s035,16,736,0,noise before speech - small 'n'/'m'
s035,17,783,0,large 'B'
s035,18,676,0,small 'o'
s035,19,535,0,small 'c' ﾅ 's' sorry!
s035,20,458,0,large 'D'/'T'
s035,21,612,0,small 'g'
s035,22,525,0,large 'I'
s035,23,602,0,small 'p'
s035,24,742,0,small 'w'
